Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=120_pos=initial.txt,SUV,100,0,120,92.429,163.154,46.218,92.429,-11.301,92,27
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=150_pos=initial.txt,SUV,100,0,150,42.135,12.751,12.66,42.135,-8.893,64,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=180_pos=initial.txt,SUV,100,0,180,63.479,26.514,47.341,63.479,-3.928,56,10
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=210_pos=initial.txt,SUV,100,0,210,41.99,105.894,17.822,41.99,-10.153,40,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=240_pos=initial.txt,SUV,100,0,240,52.991,116.945,13.869,52.991,-17.277,35,21
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=270_pos=initial.txt,SUV,100,0,270,78.756,254.121,17.616,78.756,-61.952,37,79
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=300_pos=initial.txt,SUV,100,0,300,53.526,128.628,22.782,53.526,-43.404,37,120
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=30_pos=initial.txt,SUV,100,0,30,41.559,15.499,14.913,41.559,-10.944,66,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=330_pos=initial.txt,SUV,100,0,330,43.828,127.648,21.267,43.828,-16.855,40,91
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=60_pos=initial.txt,SUV,100,0,60,93.668,162.388,62.705,93.668,-15.462,92,27
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=0_rot=90_pos=initial.txt,SUV,100,0,90,118.123,232.195,11.885,118.123,-29.97,89,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=0_pos=initial.txt,SUV,100,200,0,55.983,20.453,62.882,55.983,-9.941,53,298
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=120_pos=initial.txt,SUV,100,200,120,102.375,180.152,55.824,102.375,-10.648,93,236
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=180_pos=initial.txt,SUV,100,200,180,64.987,16.002,38.0,64.987,-5.283,53,92
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=210_pos=initial.txt,SUV,100,200,210,40.215,103.491,23.924,40.215,-6.762,28,132
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=240_pos=initial.txt,SUV,100,200,240,49.438,101.795,27.508,49.438,-31.653,36,103
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=270_pos=initial.txt,SUV,100,200,270,77.993,146.827,8.691,77.993,-62.543,38,78
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=300_pos=initial.txt,SUV,100,200,300,62.429,127.103,21.875,62.429,-29.01,40,82
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=30_pos=initial.txt,SUV,100,200,30,31.895,24.767,23.495,31.895,-8.487,67,31
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=330_pos=initial.txt,SUV,100,200,330,36.806,107.973,19.739,36.806,-22.471,57,93
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=60_pos=initial.txt,SUV,100,200,60,93.501,171.622,97.312,93.501,-21.123,93,119
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=90_pos=initial.txt,SUV,100,200,90,111.771,218.226,8.385,111.771,-21.55,90,110
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=400_rot=0_pos=initial.txt,SUV,100,400,0,59.001,12.091,18.588,59.001,-4.497,57,94
