,Path,CarProfile,Velocity,Translation,Rotation,Position,HIC15_max,HIC36_max,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,BrIC_abs_max,Chest_Resultant_Acceleration_max,Chest_Resultant_Acceleration_CLIP3ms_max
466,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=60_pos=initial.txt,MPV,40,200,60,initial,122021.479,122021.479,1858.497,1391.282,199.395,1.671,249.717,93.366
467,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=90_pos=initial.txt,MPV,40,200,90,initial,96261.596,96261.596,459.043,2084.925,118.074,1.889,423.373,80.52
468,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=0_pos=initial.txt,MPV,40,400,0,initial,75.504,102.543,35.694,18.394,26.784,0.861,49.496,31.71
469,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=120_pos=initial.txt,MPV,40,400,120,initial,555.231,570.731,134.957,107.464,30.929,1.608,95.14,49.714
470,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=150_pos=initial.txt,MPV,40,400,150,initial,0.0,0.0,0.918,0.396,0.006,0.0,1.0,0.025
471,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=180_pos=initial.txt,MPV,40,400,180,initial,89.031,114.776,35.061,25.352,39.887,0.986,35.708,29.871
472,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=210_pos=initial.txt,MPV,40,400,210,initial,0.0,0.0,0.0,1811.718,0.0,0.0,1.0,1.0
473,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=240_pos=initial.txt,MPV,40,400,240,initial,29540.777,29540.777,318.518,893.029,775.525,1.81,164.74,49.133
474,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=270_pos=initial.txt,MPV,40,400,270,initial,7213.77,7213.77,70.249,421.897,204.727,1.466,44.415,31.118
475,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=300_pos=initial.txt,MPV,40,400,300,initial,43123.256,43123.256,250.627,1490.381,861.769,1.947,144.808,41.743
476,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=30_pos=initial.txt,MPV,40,400,30,initial,13804.868,13804.868,445.9,648.922,313.48,1.178,116.914,48.214
477,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=330_pos=initial.txt,MPV,40,400,330,initial,28391.528,28391.528,239.828,1217.9,452.019,2.084,127.421,54.972
478,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=60_pos=initial.txt,MPV,40,400,60,initial,107971.413,107971.413,1829.767,1838.022,752.22,1.599,362.973,147.403
479,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=400_rot=90_pos=initial.txt,MPV,40,400,90,initial,6353.234,6548.629,291.673,522.18,106.129,1.941,152.515,70.493
