Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
42,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=300_pos=initial.txt,FCR,100,200,300,,107,117.734,175.19,1006.88,770,1160,1460,1070,11.0,816,30
43,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=30_pos=initial.txt,FCR,100,200,30,,126,357.629,357.505,1036.464,770,1160,1460,1070,11.0,816,30
44,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=60_pos=initial.txt,FCR,100,200,60,,112,191.418,283.809,1034.051,770,1160,1460,1070,11.0,816,30
45,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=90_pos=initial.txt,FCR,100,200,90,,115,205.233,199.686,971.932,770,1160,1460,1070,11.0,816,30
46,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=0_pos=initial.txt,FCR,100,400,0,,151,834.107,488.663,982.961,770,1160,1460,1070,11.0,816,30
47,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=120_pos=initial.txt,FCR,100,400,120,,122,236.044,315.303,1033.103,770,1160,1460,1070,11.0,816,30
48,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=180_pos=initial.txt,FCR,100,400,180,,144,694.542,539.529,991.155,770,1160,1460,1070,11.0,816,30
49,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=210_pos=initial.txt,FCR,100,400,210,,120,208.58,479.863,1033.854,770,1160,1460,1070,11.0,816,30
50,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=240_pos=initial.txt,FCR,100,400,240,,115,92.712,418.185,1000.665,770,1160,1460,1070,11.0,816,30
51,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=270_pos=initial.txt,FCR,100,400,270,,117,162.516,338.293,966.764,770,1160,1460,1070,11.0,816,30
52,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=300_pos=initial.txt,FCR,100,400,300,,115,309.135,283.459,949.675,770,1160,1460,1070,11.0,816,30
53,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=30_pos=initial.txt,FCR,100,400,30,,133,350.053,549.511,1020.753,770,1160,1460,1070,11.0,816,30
54,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=330_pos=initial.txt,FCR,100,400,330,,119,263.348,328.0,1022.581,770,1160,1460,1070,11.0,816,30
55,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=60_pos=initial.txt,FCR,100,400,60,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=100_tra=400_rot=60_pos=initial.metadb.gif,118,173.863,447.64,1028.709,770,1160,1460,1070,11.0,816,30
56,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=90_pos=initial.txt,FCR,100,400,90,,117,179.39,364.88,1032.809,770,1160,1460,1070,11.0,816,30
57,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=0_pos=initial.txt,FCR,20,-200,0,,152,876.036,-223.572,982.827,770,1160,1460,1070,11.0,816,30
