FCR_VelPath,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Head_X_Acceleration_max_index,Head_Y_Acceleration_max_index,Head_Z_Acceleration_max_index,MaxAccel,MaxAccelIndex
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=60_pos=initial.txt,FCR,100,-400,60,94.494,171.326,22.741,115,130,114,194.6006579999153,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=90_pos=initial.txt,FCR,100,-400,90,279.207,549.104,78.145,118,118,118,620.9495894917719,118
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=0_pos=initial.txt,FCR,100,0,0,35.876,8.668,15.693,195,156,63,36.375682344115546,63
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=120_pos=initial.txt,FCR,100,0,120,89.148,162.061,33.486,111,110,113,186.05696145535646,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=150_pos=initial.txt,FCR,100,0,150,53.074,96.138,62.534,124,125,128,124.51967846890707,125
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=180_pos=initial.txt,FCR,100,0,180,38.989,10.453,18.201,194,157,71,39.871111271194835,71
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=210_pos=initial.txt,FCR,100,0,210,49.242,113.946,40.938,112,116,146,118.11349906340088,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=240_pos=initial.txt,FCR,100,0,240,40.828,130.04,19.104,106,279,147,130.9328181931482,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=270_pos=initial.txt,FCR,100,0,270,108.427,260.134,9.365,101,294,101,281.84198322819117,101
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=300_pos=initial.txt,FCR,100,0,300,50.469,135.171,7.848,105,40,115,136.7151466590297,105
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=30_pos=initial.txt,FCR,100,0,30,61.552,104.038,72.927,125,125,136,136.14125338412308,125
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=60_pos=initial.txt,FCR,100,0,60,118.877,176.023,42.351,109,109,109,216.58588333268628,109
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=90_pos=initial.txt,FCR,100,0,90,268.663,436.807,12.609,112,114,112,512.9673859447597,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=0_pos=initial.txt,FCR,100,200,0,35.419,10.302,22.219,206,163,64,36.00801948177655,64
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=120_pos=initial.txt,FCR,100,200,120,110.842,168.178,18.796,110,118,110,201.48143500580892,110
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=150_pos=initial.txt,FCR,100,200,150,56.929,127.822,58.557,122,122,123,151.68223368938104,122
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=180_pos=initial.txt,FCR,100,200,180,39.409,14.08,30.985,238,140,68,39.665587881689085,68
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=210_pos=initial.txt,FCR,100,200,210,36.666,104.571,37.315,116,116,125,112.25230015906132,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=240_pos=initial.txt,FCR,100,200,240,53.554,386.643,17.983,107,106,111,386.8021764687991,107
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=270_pos=initial.txt,FCR,100,200,270,52.566,290.154,41.94,102,102,104,293.7584159900785,102
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=300_pos=initial.txt,FCR,100,200,300,49.779,141.093,26.447,112,116,287,143.98010944224205,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=30_pos=initial.txt,FCR,100,200,30,48.316,90.086,74.931,126,126,126,126.74611636259313,126
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=60_pos=initial.txt,FCR,100,200,60,131.314,188.38,44.01,112,112,110,215.3247353092533,112
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=200_rot=90_pos=initial.txt,FCR,100,200,90,119.023,290.804,25.897,115,115,106,308.2936231079066,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=0_pos=initial.txt,FCR,100,400,0,35.547,13.321,46.214,152,151,73,49.451701901956824,151
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=120_pos=initial.txt,FCR,100,400,120,90.151,148.163,26.934,121,125,121,175.2780765127231,121
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=180_pos=initial.txt,FCR,100,400,180,40.82,24.744,34.188,145,141,77,41.89450181109689,145
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=210_pos=initial.txt,FCR,100,400,210,44.821,85.239,42.462,119,120,122,93.96989878679237,119
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=240_pos=initial.txt,FCR,100,400,240,50.813,151.382,90.192,114,115,123,168.54408883137967,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=270_pos=initial.txt,FCR,100,400,270,71.577,290.828,139.766,117,117,119,327.967135336759,117
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=300_pos=initial.txt,FCR,100,400,300,39.316,323.554,174.202,115,115,101,368.4007019659436,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=30_pos=initial.txt,FCR,100,400,30,71.727,69.569,55.087,130,129,142,97.21054006125055,133
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=330_pos=initial.txt,FCR,100,400,330,29.295,112.3,28.217,119,119,75,115.92663038749983,119
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=60_pos=initial.txt,FCR,100,400,60,93.193,152.639,47.612,117,117,116,184.63434619268432,117
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=90_pos=initial.txt,FCR,100,400,90,114.258,147.014,27.585,116,126,116,186.43883341192628,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=0_pos=initial.txt,FCR,20,-200,0,37.961,7.347,25.895,221,153,66,38.535628838777235,66
