Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Head_X_Acceleration_max_index,Head_Y_Acceleration_max_index,Head_Z_Acceleration_max_index,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=150_pos=initial.txt,FCR,40,-400,150,51.686,87.824,77.097,129,130,133,51.686,-14.435,133,155
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=180_pos=initial.txt,FCR,40,-400,180,37.265,9.982,30.688,151,153,67,37.265,-12.939,67,201
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=210_pos=initial.txt,FCR,40,-400,210,58.027,105.282,23.708,120,141,128,31.123,-58.027,131,128
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=240_pos=initial.txt,FCR,40,-400,240,47.527,123.771,35.907,113,121,119,40.581,-47.527,122,119
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=270_pos=initial.txt,FCR,40,-400,270,41.07,189.932,38.621,108,263,53,41.07,-32.725,53,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=300_pos=initial.txt,FCR,40,-400,300,53.469,207.506,22.476,111,131,126,53.469,-41.717,126,128
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=30_pos=initial.txt,FCR,40,-400,30,65.992,149.46,25.215,118,118,124,65.992,-16.573,124,195
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=330_pos=initial.txt,FCR,40,-400,330,39.211,116.729,46.815,117,117,124,39.211,-14.908,124,127
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=60_pos=initial.txt,FCR,40,-400,60,99.822,165.787,11.958,116,148,115,99.822,-14.525,115,134
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-400_rot=90_pos=initial.txt,FCR,40,-400,90,111.48,178.842,35.879,110,110,113,111.48,-37.382,113,126
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=0_pos=initial.txt,FCR,40,0,0,36.487,9.375,16.2,196,160,63,36.487,-18.949,63,208
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=120_pos=initial.txt,FCR,40,0,120,94.755,152.575,19.958,111,112,110,94.755,-13.801,110,179
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=150_pos=initial.txt,FCR,40,0,150,56.945,94.364,67.765,124,124,128,56.945,-11.429,128,134
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=210_pos=initial.txt,FCR,40,0,210,37.633,112.383,36.014,113,112,118,37.633,-29.248,118,122
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=240_pos=initial.txt,FCR,40,0,240,51.192,129.51,8.676,105,36,114,48.691,-51.192,117,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=270_pos=initial.txt,FCR,40,0,270,66.373,209.962,7.309,102,149,97,50.918,-66.373,51,97
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=300_pos=initial.txt,FCR,40,0,300,34.586,137.39,7.87,106,40,116,34.586,-29.837,116,101
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=30_pos=initial.txt,FCR,40,0,30,54.777,89.437,70.615,126,127,129,54.777,-15.526,129,199
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=330_pos=initial.txt,FCR,40,0,330,38.84,117.596,29.657,112,116,125,38.84,-32.405,125,122
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=0_rot=90_pos=initial.txt,FCR,40,0,90,199.686,303.806,13.003,114,114,114,199.686,-51.827,114,118
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=0_pos=initial.txt,FCR,40,200,0,35.302,8.82,24.383,193,160,60,35.302,-7.427,60,220
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=120_pos=initial.txt,FCR,40,200,120,112.452,177.62,18.561,111,122,110,112.452,-16.941,110,148
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=150_pos=initial.txt,FCR,40,200,150,57.347,123.697,52.001,123,123,123,57.347,-6.071,123,241
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=180_pos=initial.txt,FCR,40,200,180,40.177,13.119,30.289,249,141,67,40.177,-17.456,67,249
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=210_pos=initial.txt,FCR,40,200,210,44.263,102.304,42.835,116,116,147,44.263,-27.044,147,154
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=240_pos=initial.txt,FCR,40,200,240,139.436,387.646,45.077,106,107,108,84.468,-139.436,110,108
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=270_pos=initial.txt,FCR,40,200,270,60.376,963.174,389.748,103,103,103,60.376,-47.833,103,117
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=300_pos=initial.txt,FCR,40,200,300,63.334,136.044,27.329,107,116,116,36.841,-63.334,51,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=30_pos=initial.txt,FCR,40,200,30,60.539,81.065,72.926,129,129,140,60.539,-13.806,140,33
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=330_pos=initial.txt,FCR,40,200,330,37.744,125.053,10.677,114,163,126,28.874,-37.744,70,126
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=60_pos=initial.txt,FCR,40,200,60,91.683,157.981,48.717,112,112,112,91.683,-14.491,112,127
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=90_pos=initial.txt,FCR,40,200,90,215.278,296.205,28.475,115,107,115,215.278,-52.996,115,120
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=0_pos=initial.txt,FCR,40,400,0,39.861,13.235,37.431,148,149,73,39.861,-15.006,73,208
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=120_pos=initial.txt,FCR,40,400,120,106.726,206.886,44.029,120,120,120,106.726,-8.246,120,173
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=150_pos=initial.txt,FCR,40,400,150,62.657,107.16,13.619,121,125,128,62.657,-8.248,128,153
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=180_pos=initial.txt,FCR,40,400,180,37.802,20.621,44.775,144,141,77,37.802,-9.053,77,265
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=210_pos=initial.txt,FCR,40,400,210,48.501,102.802,54.717,120,120,126,48.501,-43.682,126,129
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=240_pos=initial.txt,FCR,40,400,240,67.663,125.206,57.691,111,114,124,39.161,-67.663,103,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=270_pos=initial.txt,FCR,40,400,270,61.28,147.437,46.447,113,116,121,50.228,-61.28,106,121
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=300_pos=initial.txt,FCR,40,400,300,38.28,237.465,119.688,117,117,60,38.28,-19.256,60,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=30_pos=initial.txt,FCR,40,400,30,57.735,71.175,63.525,132,132,135,57.735,-16.31,135,36
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=330_pos=initial.txt,FCR,40,400,330,56.776,121.149,26.37,119,119,131,28.022,-56.776,74,131
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=60_pos=initial.txt,FCR,40,400,60,85.972,145.182,51.516,118,118,122,85.972,-7.877,122,274
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=0_pos=initial.txt,FCR,60,-200,0,40.07,9.027,22.243,151,151,65,40.07,-6.878,65,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=120_pos=initial.txt,FCR,60,-200,120,96.059,161.098,53.843,110,110,109,96.059,-17.703,109,129
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=150_pos=initial.txt,FCR,60,-200,150,55.23,86.079,71.936,126,126,129,55.23,-11.556,129,192
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=180_pos=initial.txt,FCR,60,-200,180,35.423,7.417,43.195,238,161,66,35.423,-18.095,66,225
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=210_pos=initial.txt,FCR,60,-200,210,29.44,114.456,9.762,114,123,71,29.44,-19.511,71,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=240_pos=initial.txt,FCR,60,-200,240,66.405,139.017,25.799,106,295,295,33.861,-66.405,53,295
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=300_pos=initial.txt,FCR,60,-200,300,55.293,337.188,30.076,107,108,111,55.293,-43.093,111,109
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=30_pos=initial.txt,FCR,60,-200,30,58.01,116.819,62.057,122,122,122,58.01,-11.613,122,204
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=330_pos=initial.txt,FCR,60,-200,330,33.572,104.223,37.918,115,118,120,33.572,-26.157,120,148
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=60_pos=initial.txt,FCR,60,-200,60,96.082,160.44,33.46,111,112,111,96.082,-7.986,111,280
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-200_rot=90_pos=initial.txt,FCR,60,-200,90,153.588,227.356,13.289,115,106,115,153.588,-29.24,115,119
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=60_tra=-400_rot=0_pos=initial.txt,FCR,60,-400,0,38.808,18.186,37.489,146,146,71,38.808,-9.186,71,253
